expert_id,participant_id,task_id,stage,block,image_id,n_dims,P_i,P_norm
expert_04,P013,T3_transfer_E03,T3,transfer,E03,2,0,0.000000
expert_04,P006,T1_early_C03,T1,early,C03,2,0,0.000000
expert_04,P018,T2_middle_D03,T2,middle,D03,2,3,0.500000
expert_04,P020,T3_transfer_E02,T3,transfer,E02,2,0,0.000000
expert_04,P014,T1_early_C04,T1,early,C04,2,0,0.000000
expert_04,P009,T3_transfer_E01,T3,transfer,E01,2,0,0.000000
expert_04,P017,T3_transfer_D06,T3,transfer,D06,2,0,0.000000
expert_04,P001,T3_transfer_C01,T3,transfer,C01,3,1,0.111111
expert_04,P005,T3_transfer_C02,T3,transfer,C02,2,0,0.000000
expert_04,P004,T1_early_E01,T1,early,E01,2,0,0.000000
expert_04,P015,T1_early_E05,T1,early,E05,2,0,0.000000
expert_04,P016,T1_early_C04,T1,early,C04,2,0,0.000000
expert_04,P006,T1_middle_E01,T1,middle,E01,2,0,0.000000
expert_04,P009,T1_early_D01,T1,early,D01,2,0,0.000000
expert_04,P002,T1_early_E05,T1,early,E05,2,0,0.000000
expert_04,P019,T1_early_A04,T1,early,A04,2,1,0.166667
expert_04,P007,T3_transfer_A05,T3,transfer,A05,2,0,0.000000
expert_04,P016,T1_early_D02,T1,early,D02,2,0,0.000000
expert_04,P010,T2_middle_D06,T2,middle,D06,2,1,0.166667
expert_04,P004,T2_middle_D02,T2,middle,D02,2,1,0.166667
expert_04,P019,T2_middle_D05,T2,middle,D05,2,0,0.000000
expert_04,P011,T3_transfer_D01,T3,transfer,D01,2,0,0.000000
expert_04,P011,T1_early_C03,T1,early,C03,2,0,0.000000
expert_04,P013,T3_transfer_D04,T3,transfer,D04,2,0,0.000000
expert_04,P011,T2_middle_D02,T2,middle,D02,2,0,0.000000
expert_04,P005,T1_middle_A01,T1,middle,A01,2,2,0.333333
expert_04,P010,T1_early_C04,T1,early,C04,2,1,0.166667
expert_04,P008,T1_middle_E02,T1,middle,E02,2,0,0.000000
expert_04,P005,T3_transfer_A05,T3,transfer,A05,2,2,0.333333
expert_04,P003,T2_middle_D01,T2,middle,D01,2,0,0.000000
expert_04,P006,T3_transfer_D06,T3,transfer,D06,2,1,0.166667
expert_04,P017,T3_transfer_C04,T3,transfer,C04,2,0,0.000000
expert_04,P004,T1_early_C03,T1,early,C03,2,1,0.166667
expert_04,P014,T2_middle_D03,T2,middle,D03,2,0,0.000000
expert_04,P019,T1_early_D04,T1,early,D04,2,0,0.000000
expert_04,P011,T2_middle_C04,T2,middle,C04,2,3,0.500000
expert_04,P018,T3_transfer_E02,T3,transfer,E02,2,1,0.166667
expert_04,P013,T1_early_C04,T1,early,C04,2,0,0.000000
expert_04,P019,T3_transfer_C03,T3,transfer,C03,2,0,0.000000
expert_04,P013,T2_middle_D05,T2,middle,D05,2,0,0.000000
expert_04,P015,T1_middle_A01,T1,middle,A01,2,0,0.000000
expert_04,P016,T3_transfer_C02,T3,transfer,C02,2,1,0.166667
expert_04,P009,T2_middle_C04,T2,middle,C04,2,1,0.166667
expert_04,P003,T3_transfer_C03,T3,transfer,C03,2,0,0.000000
expert_04,P019,T3_transfer_C01,T3,transfer,C01,3,0,0.000000
expert_04,P004,T3_transfer_A04,T3,transfer,A04,2,2,0.333333
expert_04,P004,T3_transfer_A01,T3,transfer,A01,2,0,0.000000
expert_04,P002,T3_transfer_A01,T3,transfer,A01,2,0,0.000000
expert_04,P001,T1_early_D03,T1,early,D03,2,1,0.166667
expert_04,P020,T2_middle_E01,T2,middle,E01,2,0,0.000000
expert_04,P014,T1_early_C02,T1,early,C02,2,0,0.000000
expert_04,P008,T1_middle_A05,T1,middle,A05,2,0,0.000000
expert_04,P017,T1_early_E04,T1,early,E04,2,0,0.000000
expert_04,P008,T3_transfer_C03,T3,transfer,C03,2,1,0.166667
expert_04,P016,T2_middle_A04,T2,middle,A04,2,0,0.000000
expert_04,P004,T2_middle_D05,T2,middle,D05,2,0,0.000000
expert_04,P002,T1_middle_D04,T1,middle,D04,2,0,0.000000
expert_04,P006,T1_middle_A02,T1,middle,A02,2,1,0.166667
expert_04,P003,T2_middle_C01,T2,middle,C01,3,2,0.222222
expert_04,P020,T3_transfer_C04,T3,transfer,C04,2,0,0.000000
